ask,bid,last,open,low,high,volume,volumeQuote,timestamp
6738.70,6737.45,6738.70,6220.56,6141.43,6827.07,101325.38799,657589500.1138560,2020-03-24T13:34:08.349Z
6738.70,6737.45,6738.70,6220.56,6141.43,6827.07,101325.38799,657589500.1138560,2020-03-24T13:34:08.349Z
6738.70,6737.45,6738.70,6220.56,6141.43,6827.07,101325.38799,657589500.1138560,2020-03-24T13:34:08.349Z
6738.70,6737.45,6738.70,6220.56,6141.43,6827.07,101325.38799,657589500.1138560,2020-03-24T13:34:08.349Z
6738.70,6737.45,6738.70,6220.56,6141.43,6827.07,101325.38799,657589500.1138560,2020-03-24T13:34:08.349Z
6740.36,6737.08,6738.76,6220.56,6141.43,6827.07,101326.21328,657595061.5153254,2020-03-24T13:34:08.749Z
6740.36,6737.08,6738.76,6220.56,6141.43,6827.07,101326.21328,657595061.5153254,2020-03-24T13:34:08.749Z
6740.32,6737.13,6738.76,6220.56,6141.43,6827.07,101326.21328,657595061.5153254,2020-03-24T13:34:08.850Z
6740.32,6737.13,6738.76,6220.56,6141.43,6827.07,101326.21328,657595061.5153254,2020-03-24T13:34:08.850Z
6740.32,6737.13,6738.76,6220.56,6141.43,6827.07,101326.21328,657595061.5153254,2020-03-24T13:34:08.850Z
6740.31,6737.18,6738.76,6220.56,6141.43,6827.07,101326.21328,657595061.5153254,2020-03-24T13:34:09.046Z
6740.31,6737.18,6738.76,6220.56,6141.43,6827.07,101326.21328,657595061.5153254,2020-03-24T13:34:09.046Z
6740.30,6737.18,6738.76,6220.56,6141.43,6827.07,101326.21328,657595061.5153254,2020-03-24T13:34:09.146Z
6740.30,6737.18,6738.76,6220.56,6141.43,6827.07,101326.21328,657595061.5153254,2020-03-24T13:34:09.146Z
6740.30,6737.18,6738.76,6220.56,6141.43,6827.07,101326.21328,657595061.5153254,2020-03-24T13:34:09.146Z
6740.30,6737.18,6738.76,6220.56,6141.43,6827.07,101326.21328,657595061.5153254,2020-03-24T13:34:09.146Z
6740.30,6737.18,6738.76,6220.56,6141.43,6827.07,101326.21328,657595061.5153254,2020-03-24T13:34:09.146Z
6740.30,6737.18,6738.76,6220.56,6141.43,6827.07,101326.21328,657595061.5153254,2020-03-24T13:34:09.146Z
6740.21,6735.78,6738.76,6220.56,6141.43,6827.07,101326.21328,657595061.5153254,2020-03-24T13:34:09.449Z
6740.21,6735.78,6738.76,6220.56,6141.43,6827.07,101326.21328,657595061.5153254,2020-03-24T13:34:09.449Z
6740.17,6735.80,6738.76,6220.56,6141.43,6827.07,101326.21328,657595061.5153254,2020-03-24T13:34:09.547Z
6740.17,6735.80,6738.76,6220.56,6141.43,6827.07,101326.21328,657595061.5153254,2020-03-24T13:34:09.547Z
